phase_px,scale_factor,resize_kernel,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0,0.5,lanczos,0,,0.0,,0.0,12,0.3
0,0.5,nearest,0,,0.0,,0.0,12,0.3
0,0.5,bilinear,0,,0.0,,0.0,12,0.3
0,0.5,bicubic,0,,0.0,,0.0,12,0.3
3,0.5,lanczos,0,,0.0,,0.0,12,0.3
3,0.5,nearest,0,,0.0,,0.0,12,0.3
3,0.5,bilinear,0,,0.0,,0.0,12,0.3
3,0.5,bicubic,0,,0.0,,0.0,12,0.3
6,0.5,lanczos,0,,0.0,,0.0,12,0.3
6,0.5,nearest,0,,0.0,,0.0,12,0.3
6,0.5,bilinear,0,,0.0,,0.0,12,0.3
6,0.5,bicubic,0,,0.0,,0.0,12,0.3
9,0.5,lanczos,0,,0.0,,0.0,12,0.3
9,0.5,nearest,0,,0.0,,0.0,12,0.3
9,0.5,bilinear,0,,0.0,,0.0,12,0.3
9,0.5,bicubic,0,,0.0,,0.0,12,0.3
0,0.5,lanczos,0,,0.0,,0.0,12,0.5
0,0.5,nearest,0,,0.0,,0.0,12,0.5
0,0.5,bilinear,0,,0.0,,0.0,12,0.5
0,0.5,bicubic,0,,0.0,,0.0,12,0.5
3,0.5,lanczos,0,,0.0,,0.0,12,0.5
3,0.5,nearest,0,,0.0,,0.0,12,0.5
3,0.5,bilinear,0,,0.0,,0.0,12,0.5
3,0.5,bicubic,0,,0.0,,0.0,12,0.5
6,0.5,lanczos,0,,0.0,,0.0,12,0.5
6,0.5,nearest,0,,0.0,,0.0,12,0.5
6,0.5,bilinear,0,,0.0,,0.0,12,0.5
6,0.5,bicubic,0,,0.0,,0.0,12,0.5
9,0.5,lanczos,0,,0.0,,0.0,12,0.5
9,0.5,nearest,0,,0.0,,0.0,12,0.5
9,0.5,bilinear,0,,0.0,,0.0,12,0.5
9,0.5,bicubic,0,,0.0,,0.0,12,0.5
0,0.5,lanczos,0,,0.0,,0.0,16,0.1
0,0.5,nearest,0,,0.0,,0.0,16,0.1
0,0.5,bilinear,0,,0.0,,0.0,16,0.1
0,0.5,bicubic,0,,0.0,,0.0,16,0.1
4,0.5,lanczos,0,,0.0,,0.0,16,0.1
4,0.5,nearest,0,,0.0,,0.0,16,0.1
4,0.5,bilinear,0,,0.0,,0.0,16,0.1
4,0.5,bicubic,0,,0.0,,0.0,16,0.1
8,0.5,lanczos,0,,0.0,,0.0,16,0.1
8,0.5,nearest,0,,0.0,,0.0,16,0.1
8,0.5,bilinear,0,,0.0,,0.0,16,0.1
8,0.5,bicubic,0,,0.0,,0.0,16,0.1
12,0.5,lanczos,0,,0.0,,0.0,16,0.1
12,0.5,nearest,0,,0.0,,0.0,16,0.1
12,0.5,bilinear,0,,0.0,,0.0,16,0.1
12,0.5,bicubic,0,,0.0,,0.0,16,0.1
0,0.5,lanczos,0,,0.0,,0.0,16,0.3
0,0.5,nearest,0,,0.0,,0.0,16,0.3
0,0.5,bilinear,0,,0.0,,0.0,16,0.3
0,0.5,bicubic,0,,0.0,,0.0,16,0.3
4,0.5,lanczos,0,,0.0,,0.0,16,0.3
4,0.5,nearest,0,,0.0,,0.0,16,0.3
4,0.5,bilinear,0,,0.0,,0.0,16,0.3
4,0.5,bicubic,0,,0.0,,0.0,16,0.3
8,0.5,lanczos,0,,0.0,,0.0,16,0.3
8,0.5,nearest,0,,0.0,,0.0,16,0.3
8,0.5,bilinear,0,,0.0,,0.0,16,0.3
8,0.5,bicubic,0,,0.0,,0.0,16,0.3
12,0.5,lanczos,0,,0.0,,0.0,16,0.3
12,0.5,nearest,0,,0.0,,0.0,16,0.3
12,0.5,bilinear,0,,0.0,,0.0,16,0.3
12,0.5,bicubic,0,,0.0,,0.0,16,0.3
0,0.5,lanczos,0,"SS en es
i kl ee ee en te A
EASES a Se ee Ee ee eee ee eee eee ee eee",0.0,,0.0,16,0.5
0,0.5,nearest,0,"SS en es
i kl ee ee en te A
EASES a Se ee Ee ee eee ee eee eee ee eee",0.0,,0.0,16,0.5
0,0.5,bilinear,0,"SS en es
i kl ee ee en te A
EASES a Se ee Ee ee eee ee eee eee ee eee",0.0,,0.0,16,0.5
0,0.5,bicubic,0,"SS en es
i kl ee ee en te A
EASES a Se ee Ee ee eee ee eee eee ee eee",0.0,,0.0,16,0.5
4,0.5,lanczos,0,,0.0,,0.0,16,0.5
4,0.5,nearest,0,,0.0,,0.0,16,0.5
4,0.5,bilinear,0,,0.0,,0.0,16,0.5
4,0.5,bicubic,0,,0.0,,0.0,16,0.5
8,0.5,lanczos,0,,0.0,,0.0,16,0.5
8,0.5,nearest,0,,0.0,,0.0,16,0.5
8,0.5,bilinear,0,,0.0,,0.0,16,0.5
8,0.5,bicubic,0,,0.0,,0.0,16,0.5
12,0.5,lanczos,0,"SS
he hehe he a et. . ? .  ? . ee kk ek ft +7. 7
ey ee ee ee ee eee
A eee ee eee ee
ee LLnee ee EE Lane rE OO
NLS",0.0,,0.0,16,0.5
12,0.5,nearest,0,"SS
he hehe he a et. . ? .  ? . ee kk ek ft +7. 7
ey ee ee ee ee eee
A eee ee eee ee
ee LLnee ee EE Lane rE OO
NLS",0.0,,0.0,16,0.5
12,0.5,bilinear,0,"SS
he hehe he a et. . ? .  ? . ee kk ek ft +7. 7
ey ee ee ee ee eee
A eee ee eee ee
ee LLnee ee EE Lane rE OO
NLS",0.0,,0.0,16,0.5
12,0.5,bicubic,0,"SS
he hehe he a et. . ? .  ? . ee kk ek ft +7. 7
ey ee ee ee ee eee
A eee ee eee ee
ee LLnee ee EE Lane rE OO
NLS",0.0,,0.0,16,0.5
0,0.5,lanczos,0,,0.0,,0.0,24,0.1
0,0.5,nearest,0,,0.0,,0.0,24,0.1
0,0.5,bilinear,0,,0.0,,0.0,24,0.1
0,0.5,bicubic,0,,0.0,,0.0,24,0.1
6,0.5,lanczos,0,,0.0,,0.0,24,0.1
6,0.5,nearest,0,,0.0,,0.0,24,0.1
6,0.5,bilinear,0,,0.0,,0.0,24,0.1
6,0.5,bicubic,0,,0.0,,0.0,24,0.1
12,0.5,lanczos,0,ABCDEFGHIKEMNOPORS FOVWXYZ—,0.7307692307692308,,0.0,24,0.1
12,0.5,nearest,0,ABCDEFGHIKEMNOPORS FOVWXYZ—,0.7307692307692308,,0.0,24,0.1
12,0.5,bilinear,0,ABCDEFGHIKEMNOPORS FOVWXYZ—,0.7307692307692308,,0.0,24,0.1
12,0.5,bicubic,0,ABCDEFGHIKEMNOPORS FOVWXYZ—,0.7307692307692308,,0.0,24,0.1
18,0.5,lanczos,0,ABCDEFGHISKEMNOPORS FOVARYZ,0.6923076923076923,,0.0,24,0.1
18,0.5,nearest,0,ABCDEFGHISKEMNOPORS FOVARYZ,0.6923076923076923,,0.0,24,0.1
18,0.5,bilinear,0,ABCDEFGHISKEMNOPORS FOVARYZ,0.6923076923076923,,0.0,24,0.1
18,0.5,bicubic,0,ABCDEFGHISKEMNOPORS FOVARYZ,0.6923076923076923,,0.0,24,0.1
0,0.5,lanczos,0,,0.0,,0.0,24,0.3
0,0.5,nearest,0,,0.0,,0.0,24,0.3
0,0.5,bilinear,0,,0.0,,0.0,24,0.3
0,0.5,bicubic,0,,0.0,,0.0,24,0.3
6,0.5,lanczos,0,"A 0 ee ee en 0 a 2 2 LV ee 2 ee ee WAL Av AV.
DN ca eM es heen ae te Nfl LN alee er ale Mate cael es hg es Af ifs Pane afl,",0.0,,0.0,24,0.3
6,0.5,nearest,0,"A 0 ee ee en 0 a 2 2 LV ee 2 ee ee WAL Av AV.
DN ca eM es heen ae te Nfl LN alee er ale Mate cael es hg es Af ifs Pane afl,",0.0,,0.0,24,0.3
6,0.5,bilinear,0,"A 0 ee ee en 0 a 2 2 LV ee 2 ee ee WAL Av AV.
DN ca eM es heen ae te Nfl LN alee er ale Mate cael es hg es Af ifs Pane afl,",0.0,,0.0,24,0.3
6,0.5,bicubic,0,"A 0 ee ee en 0 a 2 2 LV ee 2 ee ee WAL Av AV.
DN ca eM es heen ae te Nfl LN alee er ale Mate cael es hg es Af ifs Pane afl,",0.0,,0.0,24,0.3
12,0.5,lanczos,0,,0.0,,0.0,24,0.3
12,0.5,nearest,0,,0.0,,0.0,24,0.3
12,0.5,bilinear,0,,0.0,,0.0,24,0.3
12,0.5,bicubic,0,,0.0,,0.0,24,0.3
18,0.5,lanczos,0,"VS A_ALN
Fh Ae St Se LAIN",0.038461538461538436,,0.0,24,0.3
18,0.5,nearest,0,"VS A_ALN
Fh Ae St Se LAIN",0.038461538461538436,,0.0,24,0.3
18,0.5,bilinear,0,"VS A_ALN
Fh Ae St Se LAIN",0.038461538461538436,,0.0,24,0.3
18,0.5,bicubic,0,"VS A_ALN
Fh Ae St Se LAIN",0.038461538461538436,,0.0,24,0.3
0,0.5,lanczos,0,"Renee eee
a A A A
ee . ee Ss a
I
Neen ee eee eee",0.0,,0.0,24,0.5
0,0.5,nearest,0,"Renee eee
a A A A
ee . ee Ss a
I
Neen ee eee eee",0.0,,0.0,24,0.5
0,0.5,bilinear,0,"Renee eee
a A A A
ee . ee Ss a
I
Neen ee eee eee",0.0,,0.0,24,0.5
0,0.5,bicubic,0,"Renee eee
a A A A
ee . ee Ss a
I
Neen ee eee eee",0.0,,0.0,24,0.5
6,0.5,lanczos,0,"Neen eeeeee ener eee eee eee eee
ey A 2 ee ee ee 2 ee ee Lae OE ee EN PN Ns
a A Bl Pe NN a NE a PN
a
8 aS... =:",0.0,,0.0,24,0.5
6,0.5,nearest,0,"Neen eeeeee ener eee eee eee eee
ey A 2 ee ee ee 2 ee ee Lae OE ee EN PN Ns
a A Bl Pe NN a NE a PN
a
8 aS... =:",0.0,,0.0,24,0.5
6,0.5,bilinear,0,"Neen eeeeee ener eee eee eee eee
ey A 2 ee ee ee 2 ee ee Lae OE ee EN PN Ns
a A Bl Pe NN a NE a PN
a
8 aS... =:",0.0,,0.0,24,0.5
6,0.5,bicubic,0,"Neen eeeeee ener eee eee eee eee
ey A 2 ee ee ee 2 ee ee Lae OE ee EN PN Ns
a A Bl Pe NN a NE a PN
a
8 aS... =:",0.0,,0.0,24,0.5
12,0.5,lanczos,0,"a a ee = a
a AW 2 ee ee eee ee ee ee Dh A et hl
a A a et eine Ne i A i A Ne Se i i A Ne eit ie i it sl No
Neen ee eee ee eee eee eee",0.0,,0.0,24,0.5
12,0.5,nearest,0,"a a ee = a
a AW 2 ee ee eee ee ee ee Dh A et hl
a A a et eine Ne i A i A Ne Se i i A Ne eit ie i it sl No
Neen ee eee ee eee eee eee",0.0,,0.0,24,0.5
12,0.5,bilinear,0,"a a ee = a
a AW 2 ee ee eee ee ee ee Dh A et hl
a A a et eine Ne i A i A Ne Se i i A Ne eit ie i it sl No
Neen ee eee ee eee eee eee",0.0,,0.0,24,0.5
12,0.5,bicubic,0,"a a ee = a
a AW 2 ee ee eee ee ee ee Dh A et hl
a A a et eine Ne i A i A Ne Se i i A Ne eit ie i it sl No
Neen ee eee ee eee eee eee",0.0,,0.0,24,0.5
18,0.5,lanczos,0,"A PN ON NN Oe NP
ee ee",0.07692307692307687,,0.0,24,0.5
18,0.5,nearest,0,"A PN ON NN Oe NP
ee ee",0.07692307692307687,,0.0,24,0.5
18,0.5,bilinear,0,"A PN ON NN Oe NP
ee ee",0.07692307692307687,,0.0,24,0.5
18,0.5,bicubic,0,"A PN ON NN Oe NP
ee ee",0.07692307692307687,,0.0,24,0.5
0,0.5,lanczos,0,,0.0,,0.0,32,0.1
0,0.5,nearest,0,,0.0,,0.0,32,0.1
0,0.5,bilinear,0,,0.0,,0.0,32,0.1
0,0.5,bicubic,0,,0.0,,0.0,32,0.1
8,0.5,lanczos,0,,0.0,,0.0,32,0.1
8,0.5,nearest,0,,0.0,,0.0,32,0.1
8,0.5,bilinear,0,,0.0,,0.0,32,0.1
8,0.5,bicubic,0,,0.0,,0.0,32,0.1
16,0.5,lanczos,0,,0.0,,0.0,32,0.1
16,0.5,nearest,0,,0.0,,0.0,32,0.1
16,0.5,bilinear,0,,0.0,,0.0,32,0.1
16,0.5,bicubic,0,,0.0,,0.0,32,0.1
24,0.5,lanczos,0,"ADCDELCCIIT I KT NAIODODRC TINAANATYY 7
ICD wu VAIVOT DO OVVV",0.0,,0.0,32,0.1
24,0.5,nearest,0,"ADCDELCCIIT I KT NAIODODRC TINAANATYY 7
ICD wu VAIVOT DO OVVV",0.0,,0.0,32,0.1
24,0.5,bilinear,0,"ADCDELCCIIT I KT NAIODODRC TINAANATYY 7
ICD wu VAIVOT DO OVVV",0.0,,0.0,32,0.1
24,0.5,bicubic,0,"ADCDELCCIIT I KT NAIODODRC TINAANATYY 7
ICD wu VAIVOT DO OVVV",0.0,,0.0,32,0.1
0,0.5,lanczos,0,"A 24 ee ee A en en Pe AVATAR ee,",0.0,,0.0,32,0.3
0,0.5,nearest,0,"A 24 ee ee A en en Pe AVATAR ee,",0.0,,0.0,32,0.3
0,0.5,bilinear,0,"A 24 ee ee A en en Pe AVATAR ee,",0.0,,0.0,32,0.3
0,0.5,bicubic,0,"A 24 ee ee A en en Pe AVATAR ee,",0.0,,0.0,32,0.3
8,0.5,lanczos,0,DRC se IAL Ie tr STIIUVUU XY?,0.15384615384615385,CVNOPORSTOrreyZ,0.3076923076923077,32,0.3
8,0.5,nearest,0,DRC se IAL Ie tr STIIUVUU XY?,0.15384615384615385,CVNePORsSTorhry,0.1923076923076923,32,0.3
8,0.5,bilinear,0,DRC se IAL Ie tr STIIUVUU XY?,0.15384615384615385,,0.0,32,0.3
8,0.5,bicubic,0,DRC se IAL Ie tr STIIUVUU XY?,0.15384615384615385,CVINOPORSTOhrrey?,0.2692307692307693,32,0.3
16,0.5,lanczos,0,"Li) i \ iy Dr Neal eer eee) i
ADVI ZEEE A LIVIN ZEA ZIV OLA VVVA LZ",0.0,"DS A
PSU A TZ",0.1923076923076923,32,0.3
16,0.5,nearest,0,"Li) i \ iy Dr Neal eer eee) i
ADVI ZEEE A LIVIN ZEA ZIV OLA VVVA LZ",0.0,PPA T 7,0.07692307692307687,32,0.3
16,0.5,bilinear,0,"Li) i \ iy Dr Neal eer eee) i
ADVI ZEEE A LIVIN ZEA ZIV OLA VVVA LZ",0.0,Trt,0.038461538461538436,32,0.3
16,0.5,bicubic,0,"Li) i \ iy Dr Neal eer eee) i
ADVI ZEEE A LIVIN ZEA ZIV OLA VVVA LZ",0.0,PIU A YZ,0.15384615384615385,32,0.3
24,0.5,lanczos,0,,0.0,,0.0,32,0.3
24,0.5,nearest,0,,0.0,,0.0,32,0.3
24,0.5,bilinear,0,,0.0,,0.0,32,0.3
24,0.5,bicubic,0,,0.0,,0.0,32,0.3
0,0.5,lanczos,0,"ee en
ct Ne ee ee ee A NNN SD re NAY YY 7
a
LLL,",0.0,,0.0,32,0.5
0,0.5,nearest,0,"ee en
ct Ne ee ee ee A NNN SD re NAY YY 7
a
LLL,",0.0,,0.0,32,0.5
0,0.5,bilinear,0,"ee en
ct Ne ee ee ee A NNN SD re NAY YY 7
a
LLL,",0.0,,0.0,32,0.5
0,0.5,bicubic,0,"ee en
ct Ne ee ee ee A NNN SD re NAY YY 7
a
LLL,",0.0,,0.0,32,0.5
8,0.5,lanczos,0,"ee i i
ee NN ee NLL NS AY 7
Nee ee cere eres erence eee eee eee ec e cc ne eee ee",0.0,,0.0,32,0.5
8,0.5,nearest,0,"ee i i
ee NN ee NLL NS AY 7
Nee ee cere eres erence eee eee eee ec e cc ne eee ee",0.0,,0.0,32,0.5
8,0.5,bilinear,0,"ee i i
ee NN ee NLL NS AY 7
Nee ee cere eres erence eee eee eee ec e cc ne eee ee",0.0,,0.0,32,0.5
8,0.5,bicubic,0,"ee i i
ee NN ee NLL NS AY 7
Nee ee cere eres erence eee eee eee ec e cc ne eee ee",0.0,,0.0,32,0.5
16,0.5,lanczos,0,,0.0,,0.0,32,0.5
16,0.5,nearest,0,,0.0,,0.0,32,0.5
16,0.5,bilinear,0,,0.0,,0.0,32,0.5
16,0.5,bicubic,0,,0.0,,0.0,32,0.5
24,0.5,lanczos,0,"Meena eee ee
EN Nh DN Ni Nh tN Ql roe ND TN
A Nee Ne Bae Re Nn a NN SN Ra NNN i DY Se Bi ee he
Ne",0.0,,0.0,32,0.5
24,0.5,nearest,0,"Meena eee ee
EN Nh DN Ni Nh tN Ql roe ND TN
A Nee Ne Bae Re Nn a NN SN Ra NNN i DY Se Bi ee he
Ne",0.0,,0.0,32,0.5
24,0.5,bilinear,0,"Meena eee ee
EN Nh DN Ni Nh tN Ql roe ND TN
A Nee Ne Bae Re Nn a NN SN Ra NNN i DY Se Bi ee he
Ne",0.0,,0.0,32,0.5
24,0.5,bicubic,0,"Meena eee ee
EN Nh DN Ni Nh tN Ql roe ND TN
A Nee Ne Bae Re Nn a NN SN Ra NNN i DY Se Bi ee he
Ne",0.0,,0.0,32,0.5
0,0.5,lanczos,0,,0.0,,0.0,48,0.1
0,0.5,nearest,0,,0.0,,0.0,48,0.1
0,0.5,bilinear,0,,0.0,,0.0,48,0.1
0,0.5,bicubic,0,,0.0,,0.0,48,0.1
12,0.5,lanczos,0,,0.0,,0.0,48,0.1
12,0.5,nearest,0,,0.0,,0.0,48,0.1
12,0.5,bilinear,0,,0.0,,0.0,48,0.1
12,0.5,bicubic,0,,0.0,,0.0,48,0.1
24,0.5,lanczos,0,ABCDEFGHIJKLMNOPORS TUVIAXKYZ,0.8076923076923077,,0.0,48,0.1
24,0.5,nearest,0,ABCDEFGHIJKLMNOPORS TUVIAXKYZ,0.8076923076923077,,0.0,48,0.1
24,0.5,bilinear,0,ABCDEFGHIJKLMNOPORS TUVIAXKYZ,0.8076923076923077,,0.0,48,0.1
24,0.5,bicubic,0,ABCDEFGHIJKLMNOPORS TUVIAXKYZ,0.8076923076923077,,0.0,48,0.1
36,0.5,lanczos,0,,0.0,,0.0,48,0.1
36,0.5,nearest,0,,0.0,,0.0,48,0.1
36,0.5,bilinear,0,,0.0,,0.0,48,0.1
36,0.5,bicubic,0,,0.0,,0.0,48,0.1
0,0.5,lanczos,0,,0.0,,0.0,48,0.3
0,0.5,nearest,0,,0.0,,0.0,48,0.3
0,0.5,bilinear,0,,0.0,,0.0,48,0.3
0,0.5,bicubic,0,,0.0,,0.0,48,0.3
12,0.5,lanczos,0,,0.0,,0.0,48,0.3
12,0.5,nearest,0,,0.0,,0.0,48,0.3
12,0.5,bilinear,0,,0.0,,0.0,48,0.3
12,0.5,bicubic,0,,0.0,,0.0,48,0.3
24,0.5,lanczos,0,ARC PEE TKI VN ORO RN LLINAALX YZ,0.038461538461538436,,0.0,48,0.3
24,0.5,nearest,0,ARC PEE TKI VN ORO RN LLINAALX YZ,0.038461538461538436,,0.0,48,0.3
24,0.5,bilinear,0,ARC PEE TKI VN ORO RN LLINAALX YZ,0.038461538461538436,,0.0,48,0.3
24,0.5,bicubic,0,ARC PEE TKI VN ORO RN LLINAALX YZ,0.038461538461538436,,0.0,48,0.3
36,0.5,lanczos,0,BOLE VN ERO LUV VVALZ,0.1923076923076923,,0.0,48,0.3
36,0.5,nearest,0,BOLE VN ERO LUV VVALZ,0.1923076923076923,,0.0,48,0.3
36,0.5,bilinear,0,BOLE VN ERO LUV VVALZ,0.1923076923076923,,0.0,48,0.3
36,0.5,bicubic,0,BOLE VN ERO LUV VVALZ,0.1923076923076923,,0.0,48,0.3
0,0.5,lanczos,0,,0.0,,0.0,48,0.5
0,0.5,nearest,0,,0.0,,0.0,48,0.5
0,0.5,bilinear,0,,0.0,,0.0,48,0.5
0,0.5,bicubic,0,,0.0,,0.0,48,0.5
12,0.5,lanczos,0,"tN LD EN Lt LE NANI CNT ONE CTT INS ATNANVS 7
a",0.0,,0.0,48,0.5
12,0.5,nearest,0,"tN LD EN Lt LE NANI CNT ONE CTT INS ATNANVS 7
a",0.0,,0.0,48,0.5
12,0.5,bilinear,0,"tN LD EN Lt LE NANI CNT ONE CTT INS ATNANVS 7
a",0.0,,0.0,48,0.5
12,0.5,bicubic,0,"tN LD EN Lt LE NANI CNT ONE CTT INS ATNANVS 7
a",0.0,,0.0,48,0.5
24,0.5,lanczos,0,"tN eS et TA NIA ES EN TINA XV 7
Nee",0.0,,0.0,48,0.5
24,0.5,nearest,0,"tN eS et TA NIA ES EN TINA XV 7
Nee",0.0,,0.0,48,0.5
24,0.5,bilinear,0,"tN eS et TA NIA ES EN TINA XV 7
Nee",0.0,,0.0,48,0.5
24,0.5,bicubic,0,"tN eS et TA NIA ES EN TINA XV 7
Nee",0.0,,0.0,48,0.5
36,0.5,lanczos,0,A TT A NT VEIN J YE VV AY /,0.11538461538461542,,0.0,48,0.5
36,0.5,nearest,0,A TT A NT VEIN J YE VV AY /,0.11538461538461542,,0.0,48,0.5
36,0.5,bilinear,0,A TT A NT VEIN J YE VV AY /,0.11538461538461542,,0.0,48,0.5
36,0.5,bicubic,0,A TT A NT VEIN J YE VV AY /,0.11538461538461542,,0.0,48,0.5
0,0.5,lanczos,0,,0.0,,0.0,64,0.1
0,0.5,nearest,0,,0.0,,0.0,64,0.1
0,0.5,bilinear,0,,0.0,,0.0,64,0.1
0,0.5,bicubic,0,,0.0,,0.0,64,0.1
16,0.5,lanczos,0,,0.0,,0.0,64,0.1
16,0.5,nearest,0,,0.0,,0.0,64,0.1
16,0.5,bilinear,0,,0.0,,0.0,64,0.1
16,0.5,bicubic,0,,0.0,,0.0,64,0.1
32,0.5,lanczos,0,,0.0,,0.0,64,0.1
32,0.5,nearest,0,,0.0,,0.0,64,0.1
32,0.5,bilinear,0,,0.0,,0.0,64,0.1
32,0.5,bicubic,0,,0.0,,0.0,64,0.1
48,0.5,lanczos,0,,0.0,,0.0,64,0.1
48,0.5,nearest,0,,0.0,,0.0,64,0.1
48,0.5,bilinear,0,,0.0,,0.0,64,0.1
48,0.5,bicubic,0,,0.0,,0.0,64,0.1
0,0.5,lanczos,0,,0.0,,0.0,64,0.3
0,0.5,nearest,0,,0.0,,0.0,64,0.3
0,0.5,bilinear,0,,0.0,,0.0,64,0.3
0,0.5,bicubic,0,,0.0,,0.0,64,0.3
16,0.5,lanczos,0,ARC T)EEC HI] [Ki MNC)PORS TILA XY 7,0.15384615384615385,ABCDEEGHILIKLMNOPORS TUVWXYZ,0.8076923076923077,64,0.3
16,0.5,nearest,0,ARC T)EEC HI] [Ki MNC)PORS TILA XY 7,0.15384615384615385,ARCDEEGHLIKIMNOPORS LUVWXYZ,0.6923076923076923,64,0.3
16,0.5,bilinear,0,ARC T)EEC HI] [Ki MNC)PORS TILA XY 7,0.15384615384615385,ABCDEEGHILIKLMNOPORS TUVWXYZ,0.8076923076923077,64,0.3
16,0.5,bicubic,0,ARC T)EEC HI] [Ki MNC)PORS TILA XY 7,0.15384615384615385,ABCDEEGHILIKLMNOPORS TUVWXYZ,0.8076923076923077,64,0.3
32,0.5,lanczos,0,,0.0,,0.0,64,0.3
32,0.5,nearest,0,,0.0,,0.0,64,0.3
32,0.5,bilinear,0,,0.0,,0.0,64,0.3
32,0.5,bicubic,0,,0.0,,0.0,64,0.3
48,0.5,lanczos,0,,0.0,,0.0,64,0.3
48,0.5,nearest,0,,0.0,,0.0,64,0.3
48,0.5,bilinear,0,,0.0,,0.0,64,0.3
48,0.5,bicubic,0,,0.0,,0.0,64,0.3
